,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.9647
balance_train_Cutoff,0.5031
balance_train_Acc,0.9048
balance_train_MCC,0.8095
balance_train_Sen,0.9048
balance_train_Spe,0.9048
balance_train_PPV,0.9048
balance_train_NPV,0.9048
balance_train_Youden Index,0.8095
balance_train_AUC,0.9641
balance_train_95% CIs,[0.9416-0.9866]
balance_train_Std,0.0115
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.9158
train_Cutoff,0.5031
train_Acc,0.8898
train_MCC,0.7571
train_Sen,0.8605
train_Spe,0.9048
train_PPV,0.8222
train_NPV,0.9268
train_Youden Index,0.7652
train_AUC,0.9520
train_95% CIs,[0.9202-0.9837]
train_Std,0.0162
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.4609
test_Cutoff,0.4762
test_Acc,0.6909
test_MCC,0.4922
test_Sen,0.9474
test_Spe,0.5556
test_PPV,0.5294
test_NPV,0.9524
test_Youden Index,0.5029
test_AUC,0.7025
test_95% CIs,[0.5655-0.8395]
test_Std,0.0699
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.9495
cv_train_Cutoff,0.5005
cv_train_Acc,0.8423
cv_train_MCC,0.6922
cv_train_Sen,0.7679
cv_train_Spe,0.9167
cv_train_PPV,0.9021
cv_train_NPV,0.7979
cv_train_Youden Index,0.6845
cv_train_AUC,0.9453
cv_train_95% CIs,[0.9312-0.9593]
cv_train_Std,0.0071
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.4809
cv_val_Cutoff,0.5014
cv_val_Acc,0.6929
cv_val_MCC,0.2956
cv_val_Sen,0.4884
cv_val_Spe,0.7976
cv_val_PPV,0.5526
cv_val_NPV,0.7528
cv_val_Youden Index,0.2860
cv_val_AUC,0.6790
cv_val_95% CIs,[0.5817-0.7763]
cv_val_Std,0.0496
