,F,P
PCA_feature_1,2.546314598208395,0.11055186161736684
PCA_feature_2,26.510274745926814,2.6214013784806454e-07
PCA_feature_3,42.00635724563823,9.097716426605791e-11
PCA_feature_4,2.0927127605335425,0.14800305841905542
PCA_feature_5,4.88924945023888,0.02702443201152823
PCA_feature_6,1.1093096904403408,0.2922320557333247
PCA_feature_7,0.0002516034824814048,0.9873444747663125
PCA_feature_8,0.0566107119308628,0.81193534286791
PCA_feature_9,0.27732742261002835,0.5984582929605065
PCA_feature_10,18.341893878170772,1.8460274237915582e-05
PCA_feature_11,26.314527723077966,2.900982878436405e-07
PCA_feature_12,0.05217249814232943,0.8193251847446983
PCA_feature_13,0.3370439327351109,0.5615405100846176
PCA_feature_14,2.028976496262663,0.1543245056336592
PCA_feature_15,10.948388577348995,0.0009368505552152718
PCA_feature_16,0.18614584937868947,0.6661439415679774
PCA_feature_17,3.0665757401100353,0.07991764566494801
PCA_feature_18,0.7555753222482566,0.38471677121209247
PCA_feature_19,4.096537149356014,0.04297113925989172
PCA_feature_20,0.7282493407704241,0.3934512344921738
PCA_feature_21,0.004438274198525564,0.9468839258702295
PCA_feature_22,5.63091194370456,0.01764644880600889
PCA_feature_23,6.217632216675419,0.012648415669842667
PCA_feature_24,0.9734210089237999,0.32382846859876246
PCA_feature_25,0.0057969442380429205,0.9393095736789536
PCA_feature_26,0.12850866948072198,0.7199833402349766
PCA_feature_27,8.370935793510615,0.0038126924379099803
PCA_feature_28,0.03744932585939992,0.8465530889068362
PCA_feature_29,2.7213673754956504,0.09901316189569469
PCA_feature_30,3.212737066371723,0.07306715969998884
PCA_feature_31,0.08704463066494275,0.7679684641752926
PCA_feature_32,2.1203202489442994,0.14535614742987318
PCA_feature_33,0.021295772665137915,0.883976086550434
PCA_feature_34,0.02617679319683969,0.8714693076928356
PCA_feature_35,1.3777771831713939,0.2404801370184263
PCA_feature_36,0.04931415776145832,0.824261016338072
PCA_feature_37,4.681060880536429,0.030496909151053075
PCA_feature_38,2.8913833057594367,0.08905443252172104
PCA_feature_39,0.0014492397276969246,0.9696327623973068
PCA_feature_40,0.2325212859020099,0.629660602314217
PCA_feature_41,0.005324024020255866,0.9418332450631919
PCA_feature_42,3.831375009973859,0.050301651366880015
PCA_feature_43,0.48268557420752745,0.4872083735492081
PCA_feature_44,0.08704485098396479,0.7679681789491903
PCA_feature_45,0.2000851534660092,0.6546521213767974
PCA_feature_46,0.6090399124674326,0.4351495292125348
PCA_feature_47,0.37487865043802493,0.5403569212941838
PCA_feature_48,0.001700835237020744,0.9671036217015432
PCA_feature_49,0.5796944238038941,0.4464321219705
PCA_feature_50,0.0006441049153002031,0.9797524841178371
PCA_feature_51,0.41065662037828743,0.5216364188273672
PCA_feature_52,0.05073319781128373,0.8217923312070524
PCA_feature_53,0.13079322331988766,0.7176110114737144
PCA_feature_54,3.88117421555161,0.04883039480644862
PCA_feature_55,1.4686254842021556,0.22556268659124032
PCA_feature_56,0.504987200839668,0.4773169476638005
PCA_feature_57,0.09665599385788962,0.7558800876435238
PCA_feature_58,0.39455351854677717,0.5299155377659315
PCA_feature_59,4.945521858409036,0.026158340796725944
PCA_feature_60,0.0003623080977576093,0.9848136691291118
PCA_feature_61,0.0004931422017150243,0.9822829890844804
PCA_feature_62,0.03269830582992928,0.8565035824378207
PCA_feature_63,0.394554517201544,0.5299150170559609
PCA_feature_64,0.005323916215392717,0.9418338329240286
PCA_feature_65,0.00025160284564921517,0.9873444907811445
PCA_feature_66,0.2673934403189965,0.6050856582118255
PCA_feature_67,1.2540823343018113,0.2627742035327593
PCA_feature_68,0.1497942702288421,0.6987320385849933
PCA_feature_69,0.6699212379760764,0.41307906840383335
PCA_feature_70,1.3927405293565334,0.23794283454941445
PCA_feature_71,0.3905781935843257,0.5319956351831646
PCA_feature_72,0.3333641283553202,0.5636848499209333
PCA_feature_73,1.1093082865547381,0.29223236110737816
PCA_feature_74,3.6110141059101792,0.057398109185942424
PCA_feature_75,0.005796929565429266,0.9393096503373046
PCA_feature_76,0.000493141577620268,0.9822830002934984
PCA_feature_77,0.020379830503441835,0.886481352818259
PCA_feature_78,0.0036331450921638325,0.9519361538990543
PCA_feature_79,0.8232125892611397,0.36424255154147356
PCA_feature_80,0.045177806977768666,0.83167741568627
PCA_feature_81,0.32246794407643237,0.5701282621170263
PCA_feature_82,0.014532580368882725,0.9040465612214289
PCA_feature_83,0.527782880246117,0.46754047696708967
PCA_feature_84,0.22044881312159992,0.638698157899733
PCA_feature_85,0.7282521056827685,0.39345033641566696
PCA_feature_86,0.9922813670706034,0.31918542698944946
PCA_feature_87,0.012328539440336156,0.9115894200110102
PCA_feature_88,0.00226442847715265,0.9620461807174835
PCA_feature_89,0.9178874376476798,0.338030274202473
PCA_feature_90,0.29773674351310336,0.5853047704362021
PCA_feature_91,0.00025160316406490704,0.9873444827737361
PCA_feature_92,0.24807034176767928,0.6184370983965464
PCA_feature_93,0.41882869114943505,0.5175220839459377
PCA_feature_94,1.1361996327377155,0.2864567988157774
PCA_feature_95,0.44382741985284063,0.5052808843280927
PCA_feature_96,0.1109569953845161,0.7390572297059075
PCA_feature_97,0.41883664202289195,0.5175181087707235
PCA_feature_98,0.001449261737118776,0.9696325319178427
PCA_feature_99,0.07443446847921498,0.7849863493776579
PCA_feature_100,0.0029085288965349167,0.9569903144457578
PCA_feature_101,1.1909469740523566,0.2751386236076755
PCA_feature_102,0.5796944238038941,0.4464321219705
PCA_feature_103,0.010959819959640595,0.9166224647528995
PCA_feature_104,0.10677058897999472,0.7438511615962151
PCA_feature_105,1.975072274800635,0.15991049631662424
PCA_feature_106,0.03269863688328863,0.8565028639093895
PCA_feature_107,0.22343367388040491,0.6364359940160735
PCA_feature_108,0.49600543540652775,0.48126057738361117
PCA_feature_109,1.5229117686974936,0.21717938708637616
PCA_feature_110,0.35193199648146395,0.5530215060043167
PCA_feature_111,0.012328789082977666,0.9115885285677893
PCA_feature_112,0.1354254578782459,0.7128717572077425
PCA_feature_113,0.39854897173686915,0.5278395812168839
PCA_feature_114,0.20868946435528304,0.6477965331272248
PCA_feature_115,0.47390905608739275,0.49119429541503745
PCA_feature_116,0.42294491891470803,0.5154712328043987
PCA_feature_117,0.214526921869949,0.6432421520765873
PCA_feature_118,0.27732672066811537,0.598458755868094
PCA_feature_119,1.40772798592614,0.2354339269277488
PCA_feature_120,0.08892662233270537,0.7655461936166641
PCA_feature_121,0.8347599702775552,0.3608997353355333
PCA_feature_122,0.16747691822611707,0.6823639543293709
PCA_feature_123,0.25443086170749923,0.6139723078267676
PCA_feature_124,1.817830560338473,0.17757172823860284
PCA_feature_125,0.02516079404691988,0.8739670544715016
PCA_feature_126,0.8232209239453212,0.3642401233503586
PCA_feature_127,14.120589096022108,0.00017145679044897
PCA_feature_128,2.3821448263962384,0.12272894107286368
PCA_feature_129,38.133181783555855,6.607682994967671e-10
PCA_feature_130,6.892197526761298,0.008657277636095211
PCA_feature_131,32.609008120973584,1.1269123592768722e-08
PCA_feature_132,32.52058950185895,1.1793642344240425e-08
PCA_feature_133,23.238686461524377,1.4308972526447171e-06
PCA_feature_134,0.21312534779346043,0.6443287394375927
PCA_feature_135,0.02721515478058169,0.8689674664861843
PCA_feature_136,7.0257401458676485,0.008034625496030226
PCA_feature_137,0.012684310766279615,0.9103281451059284
PCA_feature_138,11.957915172098204,0.0005441572330346853
PCA_feature_139,20.209567240050887,6.940495339447089e-06
PCA_feature_140,20.340705507490267,6.4807114716791996e-06
PCA_feature_141,3.4741534428032783,0.06233460963227283
PCA_feature_142,0.292589262736752,0.5885660277575936
PCA_feature_143,2.387055922076602,0.12234384284204126
PCA_feature_144,5.982945903784042,0.014444855142522112
PCA_feature_145,0.014532801072239546,0.9040458361342011
PCA_feature_146,2.4115075568370505,0.12044632311112206
PCA_feature_147,0.008465783939874596,0.9266903369202518
PCA_feature_148,0.33154546302649957,0.5647504774263024
PCA_feature_149,0.005324219427698704,0.9418321795199942
PCA_feature_150,3.000744258576637,0.08322627614014932
PCA_feature_151,9.854650241587828,0.0016940300250799047
PCA_feature_152,0.976595518037131,0.32304076573495566
PCA_feature_153,1.499675924368896,0.22072123297956764
PCA_feature_154,18.454998351994234,1.7396395474393675e-05
PCA_feature_155,0.29950819129679873,0.5841909050113974
PCA_feature_156,0.27736533275080444,0.5984332935819172
PCA_feature_157,2.669480939995656,0.10228937897955123
PCA_feature_158,2.2758644399098027,0.1314018410071879
PCA_feature_159,-5.685457042718019e-14,1.0
PCA_feature_160,5.459832334079866,0.01945851382537655
PCA_feature_161,1.642794883524373,0.19994242992437533
PCA_feature_162,0.2072695035461096,0.6489160089899174
PCA_feature_163,0.20296027481757922,0.6523419334303753
PCA_feature_164,4.674519125473538,0.030613272200589972
PCA_feature_165,2.097647015035741,0.14752601411771102
PCA_feature_166,2.199794909616666,0.13802910094275625
PCA_feature_167,12.695262701107227,0.0003665830972708778
PCA_feature_168,3.1339438274531135,0.07667803688882464
