,Coef
PCA_feature_2,-0.0389981536829655
PCA_feature_3,0.1525373666553345
PCA_feature_10,-0.2356253606171458
PCA_feature_11,0.3125419690566709
PCA_feature_15,-0.2666516845896336
PCA_feature_127,283824441695429.75
PCA_feature_129,221356930574858.34
PCA_feature_131,-502770807148741.0
PCA_feature_132,450451241961765.94
PCA_feature_133,195770870809013.53
PCA_feature_138,-435311403636726.3
PCA_feature_139,-115191258888419.67
PCA_feature_140,-392242757144506.3
PCA_feature_154,-289556834174253.25
PCA_feature_167,-233442991184195.66
