,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.9058
balance_train_Cutoff,0.5551
balance_train_Acc,0.8929
balance_train_MCC,0.7866
balance_train_Sen,0.9167
balance_train_Spe,0.8690
balance_train_PPV,0.8750
balance_train_NPV,0.9125
balance_train_Youden Index,0.7857
balance_train_AUC,0.9201
balance_train_95% CIs,[0.8742-0.9660]
balance_train_Std,0.0234
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.8502
train_Cutoff,0.5551
train_Acc,0.8819
train_MCC,0.7517
train_Sen,0.9070
train_Spe,0.8690
train_PPV,0.7800
train_NPV,0.9481
train_Youden Index,0.7760
train_AUC,0.9244
train_95% CIs,[0.8713-0.9775]
train_Std,0.0271
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.7795
test_Cutoff,0.4145
test_Acc,0.8545
test_MCC,0.7398
test_Sen,1.0000
test_Spe,0.7778
test_PPV,0.7037
test_NPV,1.0000
test_Youden Index,0.7778
test_AUC,0.9342
test_95% CIs,[0.8673-1.0000]
test_Std,0.0341
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.9220
cv_train_Cutoff,0.4764
cv_train_Acc,0.9018
cv_train_MCC,0.8047
cv_train_Sen,0.9286
cv_train_Spe,0.8750
cv_train_PPV,0.8814
cv_train_NPV,0.9245
cv_train_Youden Index,0.8036
cv_train_AUC,0.9439
cv_train_95% CIs,[0.9252-0.9625]
cv_train_Std,0.0095
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.8117
cv_val_Cutoff,0.6747
cv_val_Acc,0.8425
cv_val_MCC,0.6527
cv_val_Sen,0.7907
cv_val_Spe,0.8690
cv_val_PPV,0.7556
cv_val_NPV,0.8902
cv_val_Youden Index,0.6597
cv_val_AUC,0.8923
cv_val_95% CIs,[0.8308-0.9538]
cv_val_Std,0.0314
