,Coef
PCA_feature_2,-0.08254404386595704
PCA_feature_3,0.09960809250187275
PCA_feature_10,-0.16778985735575508
PCA_feature_11,0.22507670350389075
PCA_feature_15,-0.10096930539824231
PCA_feature_127,3.074333548666906e-14
PCA_feature_129,2.597601163058692e-15
PCA_feature_131,-2.146644976891131e-14
PCA_feature_132,-8.094375704415064e-16
PCA_feature_133,1.7654747343736247e-14
PCA_feature_138,-2.6902501661166875e-14
PCA_feature_139,-1.1744976766547407e-14
PCA_feature_140,-2.8839004939058958e-15
PCA_feature_154,6.424566715765562e-15
PCA_feature_167,-5.3657636599902615e-15
