,Coef
PCA_feature_2,-0.08459245543938462
PCA_feature_3,0.1268513359556952
PCA_feature_10,-0.22929557900021072
PCA_feature_11,0.2164783322281197
PCA_feature_15,-0.10786608408794096
PCA_feature_127,1.2044906035881473e-16
PCA_feature_129,8.079519234701292e-17
PCA_feature_131,-1.1731150683581805e-16
PCA_feature_132,1.422229732509429e-16
PCA_feature_133,1.3605069762169887e-17
PCA_feature_138,-8.371035185447153e-17
PCA_feature_139,-2.2295299216072842e-17
PCA_feature_140,1.8418781222943803e-18
PCA_feature_151,-2.8245705578209168e-18
PCA_feature_154,2.9981097788648694e-17
PCA_feature_167,6.770062934996335e-18
