,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.9516
balance_train_Cutoff,0.3731
balance_train_Acc,0.9286
balance_train_MCC,0.8611
balance_train_Sen,0.9762
balance_train_Spe,0.8810
balance_train_PPV,0.8913
balance_train_NPV,0.9737
balance_train_Youden Index,0.8571
balance_train_AUC,0.9607
balance_train_95% CIs,[0.9329-0.9885]
balance_train_Std,0.0142
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.9150
train_Cutoff,0.3731
train_Acc,0.9134
train_MCC,0.8254
train_Sen,0.9767
train_Spe,0.8810
train_PPV,0.8077
train_NPV,0.9867
train_Youden Index,0.8577
train_AUC,0.9610
train_95% CIs,[0.9309-0.9910]
train_Std,0.0153
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.4011
test_Cutoff,2.0000
test_Acc,0.6545
test_MCC,0.0000
test_Sen,0.0000
test_Spe,1.0000
test_PPV,0.0000
test_NPV,0.6545
test_Youden Index,0.0000
test_AUC,0.4079
test_95% CIs,[0.2723-0.5435]
test_Std,0.0692
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.9781
cv_train_Cutoff,0.6405
cv_train_Acc,0.9449
cv_train_MCC,0.8899
cv_train_Sen,0.9494
cv_train_Spe,0.9405
cv_train_PPV,0.9410
cv_train_NPV,0.9489
cv_train_Youden Index,0.8899
cv_train_AUC,0.9817
cv_train_95% CIs,[0.9731-0.9903]
cv_train_Std,0.0044
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.5524
cv_val_Cutoff,1.0000
cv_val_Acc,0.5118
cv_val_MCC,0.0657
cv_val_Sen,0.6047
cv_val_Spe,0.4643
cv_val_PPV,0.3662
cv_val_NPV,0.6964
cv_val_Youden Index,0.0689
cv_val_AUC,0.5345
cv_val_95% CIs,[0.4431-0.6258]
cv_val_Std,0.0466
