,Coef
PCA_feature_2,-0.08579170326168188
PCA_feature_3,0.1365301452243284
PCA_feature_10,-0.24926777818511459
PCA_feature_11,0.23057023242682084
PCA_feature_15,-0.21988026394304616
PCA_feature_23,0.21192835688769482
PCA_feature_27,0.3815103412448871
PCA_feature_127,0.0
PCA_feature_129,0.0
PCA_feature_130,0.0
PCA_feature_131,0.0
PCA_feature_132,0.0
PCA_feature_133,0.0
PCA_feature_136,0.0
PCA_feature_138,0.0
PCA_feature_139,0.0
PCA_feature_140,0.0
PCA_feature_151,0.0
PCA_feature_154,0.0
PCA_feature_167,0.0
