,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.9953
balance_train_Cutoff,0.5557
balance_train_Acc,0.9821
balance_train_MCC,0.9644
balance_train_Sen,0.9881
balance_train_Spe,0.9762
balance_train_PPV,0.9765
balance_train_NPV,0.9880
balance_train_Youden Index,0.9643
balance_train_AUC,0.9957
balance_train_95% CIs,[0.9890-1.0000]
balance_train_Std,0.0034
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.9849
train_Cutoff,0.5557
train_Acc,0.9764
train_MCC,0.9477
train_Sen,0.9767
train_Spe,0.9762
train_PPV,0.9545
train_NPV,0.9880
train_Youden Index,0.9529
train_AUC,0.9934
train_95% CIs,[0.9829-1.0000]
train_Std,0.0053
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.6045
test_Cutoff,0.5000
test_Acc,0.8000
test_MCC,0.5449
test_Sen,0.6316
test_Spe,0.8889
test_PPV,0.7500
test_NPV,0.8205
test_Youden Index,0.5205
test_AUC,0.7442
test_95% CIs,[0.5983-0.8900]
test_Std,0.0744
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.9964
cv_train_Cutoff,0.5430
cv_train_Acc,0.9762
cv_train_MCC,0.9524
cv_train_Sen,0.9821
cv_train_Spe,0.9702
cv_train_PPV,0.9706
cv_train_NPV,0.9819
cv_train_Youden Index,0.9524
cv_train_AUC,0.9968
cv_train_95% CIs,[0.9938-0.9998]
cv_train_Std,0.0015
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.6645
cv_val_Cutoff,0.5000
cv_val_Acc,0.7874
cv_val_MCC,0.5281
cv_val_Sen,0.6977
cv_val_Spe,0.8333
cv_val_PPV,0.6818
cv_val_NPV,0.8434
cv_val_Youden Index,0.5310
cv_val_AUC,0.8231
cv_val_95% CIs,[0.7505-0.8956]
cv_val_Std,0.0370
