,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.8536
balance_train_Cutoff,0.4946
balance_train_Acc,0.8095
balance_train_MCC,0.6219
balance_train_Sen,0.8571
balance_train_Spe,0.7619
balance_train_PPV,0.7826
balance_train_NPV,0.8421
balance_train_Youden Index,0.6190
balance_train_AUC,0.8630
balance_train_95% CIs,[0.8083-0.9176]
balance_train_Std,0.0279
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.7831
train_Cutoff,0.4946
train_Acc,0.8031
train_MCC,0.6134
train_Sen,0.8837
train_Spe,0.7619
train_PPV,0.6552
train_NPV,0.9275
train_Youden Index,0.6456
train_AUC,0.8760
train_95% CIs,[0.8147-0.9372]
train_Std,0.0313
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.6911
test_Cutoff,0.4297
test_Acc,0.8364
test_MCC,0.6715
test_Sen,0.8947
test_Spe,0.8056
test_PPV,0.7083
test_NPV,0.9355
test_Youden Index,0.7003
test_AUC,0.8728
test_95% CIs,[0.7773-0.9683]
test_Std,0.0487
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.8114
cv_train_Cutoff,0.4641
cv_train_Acc,0.7827
cv_train_MCC,0.5658
cv_train_Sen,0.7649
cv_train_Spe,0.8006
cv_train_PPV,0.7932
cv_train_NPV,0.7730
cv_train_Youden Index,0.5655
cv_train_AUC,0.8484
cv_train_95% CIs,[0.8191-0.8777]
cv_train_Std,0.0149
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.6117
cv_val_Cutoff,0.4974
cv_val_Acc,0.7953
cv_val_MCC,0.5609
cv_val_Sen,0.7674
cv_val_Spe,0.8095
cv_val_PPV,0.6735
cv_val_NPV,0.8718
cv_val_Youden Index,0.5770
cv_val_AUC,0.8117
cv_val_95% CIs,[0.7298-0.8937]
cv_val_Std,0.0418
