,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.8658
balance_train_Cutoff,0.4567
balance_train_Acc,0.8988
balance_train_MCC,0.8004
balance_train_Sen,0.9405
balance_train_Spe,0.8571
balance_train_PPV,0.8681
balance_train_NPV,0.9351
balance_train_Youden Index,0.7976
balance_train_AUC,0.9294
balance_train_95% CIs,[0.8866-0.9722]
balance_train_Std,0.0218
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.7808
train_Cutoff,0.4567
train_Acc,0.8740
train_MCC,0.7376
train_Sen,0.9070
train_Spe,0.8571
train_PPV,0.7647
train_NPV,0.9474
train_Youden Index,0.7641
train_AUC,0.9214
train_95% CIs,[0.8693-0.9734]
train_Std,0.0265
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.6724
test_Cutoff,0.3886
test_Acc,0.8000
test_MCC,0.6141
test_Sen,0.8947
test_Spe,0.7500
test_PPV,0.6538
test_NPV,0.9310
test_Youden Index,0.6447
test_AUC,0.8494
test_95% CIs,[0.7436-0.9553]
test_Std,0.0540
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.9600
cv_train_Cutoff,0.4906
cv_train_Acc,0.9196
cv_train_MCC,0.8398
cv_train_Sen,0.9375
cv_train_Spe,0.9018
cv_train_PPV,0.9052
cv_train_NPV,0.9352
cv_train_Youden Index,0.8393
cv_train_AUC,0.9645
cv_train_95% CIs,[0.9517-0.9773]
cv_train_Std,0.0065
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.6903
cv_val_Cutoff,0.4978
cv_val_Acc,0.8346
cv_val_MCC,0.6288
cv_val_Sen,0.7442
cv_val_Spe,0.8810
cv_val_PPV,0.7619
cv_val_NPV,0.8706
cv_val_Youden Index,0.6251
cv_val_AUC,0.8322
cv_val_95% CIs,[0.7485-0.9160]
cv_val_Std,0.0427
