,Coef
PCA_feature_3,0.09181741763291029
PCA_feature_10,-0.21261319969580195
PCA_feature_11,0.20607612348482185
PCA_feature_22,0.28823909463855735
PCA_feature_23,0.21211009767101308
PCA_feature_27,0.2944192775261424
PCA_feature_30,-0.1250567041873586
PCA_feature_54,-0.4806935567984797
PCA_feature_59,-0.7413301354949408
PCA_feature_129,4.4130278695717925e-14
PCA_feature_131,-4.530996607796503e-14
PCA_feature_138,-2.421482456296078e-14
PCA_feature_140,5.4295065683840744e-15
PCA_feature_154,3.786748246081314e-15
