,Coef
PCA_feature_3,0.1412837657720671
PCA_feature_10,-0.26920758789201
PCA_feature_11,0.26898476519496095
PCA_feature_19,0.30592609148876376
PCA_feature_22,0.3151595180243883
PCA_feature_23,0.2948813864862578
PCA_feature_27,0.38789775477783744
PCA_feature_30,-0.24972029498138112
PCA_feature_54,-0.44956239842212703
PCA_feature_59,-0.5903493494533075
PCA_feature_129,2.7609228352501953e-15
PCA_feature_131,-2.6630769625880976e-15
PCA_feature_138,-1.5839644402796681e-15
PCA_feature_140,4.531929387357689e-16
PCA_feature_154,3.9689078230808423e-16
