,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.9068
balance_train_Cutoff,0.4766
balance_train_Acc,0.9345
balance_train_MCC,0.8706
balance_train_Sen,0.9643
balance_train_Spe,0.9048
balance_train_PPV,0.9101
balance_train_NPV,0.9620
balance_train_Youden Index,0.8690
balance_train_AUC,0.9535
balance_train_95% CIs,[0.9198-0.9872]
balance_train_Std,0.0172
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.8434
train_Cutoff,0.4766
train_Acc,0.9134
train_MCC,0.8149
train_Sen,0.9302
train_Spe,0.9048
train_PPV,0.8333
train_NPV,0.9620
train_Youden Index,0.8350
train_AUC,0.9449
train_95% CIs,[0.9031-0.9868]
train_Std,0.0214
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.6145
test_Cutoff,0.3822
test_Acc,0.8182
test_MCC,0.6422
test_Sen,0.8947
test_Spe,0.7778
test_PPV,0.6800
test_NPV,0.9333
test_Youden Index,0.6725
test_AUC,0.8304
test_95% CIs,[0.7185-0.9423]
test_Std,0.0571
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.9717
cv_train_Cutoff,0.4556
cv_train_Acc,0.9494
cv_train_MCC,0.9004
cv_train_Sen,0.9792
cv_train_Spe,0.9196
cv_train_PPV,0.9242
cv_train_NPV,0.9778
cv_train_Youden Index,0.8988
cv_train_AUC,0.9772
cv_train_95% CIs,[0.9668-0.9877]
cv_train_Std,0.0053
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.6672
cv_val_Cutoff,0.5433
cv_val_Acc,0.8425
cv_val_MCC,0.6419
cv_val_Sen,0.7209
cv_val_Spe,0.9048
cv_val_PPV,0.7949
cv_val_NPV,0.8636
cv_val_Youden Index,0.6257
cv_val_AUC,0.8295
cv_val_95% CIs,[0.7466-0.9124]
cv_val_Std,0.0423
