,rank
PCA_feature_1,14
PCA_feature_2,2
PCA_feature_3,1
PCA_feature_4,5
PCA_feature_5,3
PCA_feature_6,14
PCA_feature_7,12
PCA_feature_8,7
PCA_feature_9,17
PCA_feature_10,1
PCA_feature_11,1
PCA_feature_12,6
PCA_feature_13,2
PCA_feature_14,4
PCA_feature_15,2
PCA_feature_16,10
PCA_feature_17,5
PCA_feature_18,13
PCA_feature_19,1
PCA_feature_20,9
PCA_feature_21,4
PCA_feature_22,1
PCA_feature_23,1
PCA_feature_24,14
PCA_feature_25,17
PCA_feature_26,12
PCA_feature_27,1
PCA_feature_28,16
PCA_feature_29,3
PCA_feature_30,1
PCA_feature_31,20
PCA_feature_32,13
PCA_feature_33,8
PCA_feature_34,9
PCA_feature_35,3
PCA_feature_36,10
PCA_feature_37,1
PCA_feature_38,4
PCA_feature_39,20
PCA_feature_40,9
PCA_feature_41,14
PCA_feature_42,3
PCA_feature_43,17
PCA_feature_44,12
PCA_feature_45,14
PCA_feature_46,6
PCA_feature_47,8
PCA_feature_48,8
PCA_feature_49,12
PCA_feature_50,16
PCA_feature_51,3
PCA_feature_52,5
PCA_feature_53,15
PCA_feature_54,1
PCA_feature_55,15
PCA_feature_56,8
PCA_feature_57,12
PCA_feature_58,15
PCA_feature_59,1
PCA_feature_60,19
PCA_feature_61,18
PCA_feature_62,12
PCA_feature_63,11
PCA_feature_64,19
PCA_feature_65,10
PCA_feature_66,19
PCA_feature_67,8
PCA_feature_68,13
PCA_feature_69,9
PCA_feature_70,13
PCA_feature_71,4
PCA_feature_72,10
PCA_feature_73,7
PCA_feature_74,3
PCA_feature_75,19
PCA_feature_76,19
PCA_feature_77,10
PCA_feature_78,11
PCA_feature_79,6
PCA_feature_80,11
PCA_feature_81,7
PCA_feature_82,14
PCA_feature_83,12
PCA_feature_84,6
PCA_feature_85,5
PCA_feature_86,10
PCA_feature_87,7
PCA_feature_88,20
PCA_feature_89,8
PCA_feature_90,20
PCA_feature_91,15
PCA_feature_92,7
PCA_feature_93,17
PCA_feature_94,19
PCA_feature_95,6
PCA_feature_96,13
PCA_feature_97,20
PCA_feature_98,11
PCA_feature_99,18
PCA_feature_100,11
PCA_feature_101,8
PCA_feature_102,5
PCA_feature_103,19
PCA_feature_104,13
PCA_feature_105,6
PCA_feature_106,11
PCA_feature_107,6
PCA_feature_108,9
PCA_feature_109,9
PCA_feature_110,11
PCA_feature_111,18
PCA_feature_112,20
PCA_feature_113,17
PCA_feature_114,10
PCA_feature_115,16
PCA_feature_116,17
PCA_feature_117,20
PCA_feature_118,17
PCA_feature_119,18
PCA_feature_120,18
PCA_feature_121,10
PCA_feature_122,9
PCA_feature_123,4
PCA_feature_124,5
PCA_feature_125,16
PCA_feature_126,17
PCA_feature_127,5
PCA_feature_128,9
PCA_feature_129,1
PCA_feature_130,6
PCA_feature_131,1
PCA_feature_132,2
PCA_feature_133,4
PCA_feature_134,3
PCA_feature_135,14
PCA_feature_136,2
PCA_feature_137,18
PCA_feature_138,1
PCA_feature_139,2
PCA_feature_140,1
PCA_feature_141,15
PCA_feature_142,7
PCA_feature_143,7
PCA_feature_144,5
PCA_feature_145,18
PCA_feature_146,13
PCA_feature_147,16
PCA_feature_148,14
PCA_feature_149,15
PCA_feature_150,3
PCA_feature_151,4
PCA_feature_152,8
PCA_feature_153,15
PCA_feature_154,1
PCA_feature_155,16
PCA_feature_156,20
PCA_feature_157,1
PCA_feature_158,18
PCA_feature_159,16
PCA_feature_160,16
PCA_feature_161,2
PCA_feature_162,19
PCA_feature_163,7
PCA_feature_164,11
PCA_feature_165,15
PCA_feature_166,13
PCA_feature_167,4
PCA_feature_168,12
