,Coef
PCA_feature_3,0.12181601750957972
PCA_feature_10,-0.5123706868172596
PCA_feature_11,0.5431353206332384
PCA_feature_15,-0.42419614174731785
PCA_feature_19,0.47184179933680387
PCA_feature_22,0.6747004256908719
PCA_feature_23,0.9914947848565004
PCA_feature_27,0.8773141734430245
PCA_feature_30,-0.7690297380288429
PCA_feature_37,0.8498112833839013
PCA_feature_54,-2.0133969581275375
PCA_feature_59,-2.109192841850986
PCA_feature_129,827094459291441.9
PCA_feature_131,-1686602012966223.2
PCA_feature_138,-140171620415900.53
PCA_feature_140,1598899062231219.5
PCA_feature_154,630281054447044.2
PCA_feature_157,-679734086013402.0
