,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.7891
balance_train_Cutoff,0.4914
balance_train_Acc,0.8810
balance_train_MCC,0.7628
balance_train_Sen,0.9048
balance_train_Spe,0.8571
balance_train_PPV,0.8636
balance_train_NPV,0.9000
balance_train_Youden Index,0.7619
balance_train_AUC,0.8995
balance_train_95% CIs,[0.8440-0.9550]
balance_train_Std,0.0283
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.6666
train_Cutoff,0.4914
train_Acc,0.8661
train_MCC,0.7176
train_Sen,0.8837
train_Spe,0.8571
train_PPV,0.7600
train_NPV,0.9351
train_Youden Index,0.7409
train_AUC,0.8931
train_95% CIs,[0.8340-0.9523]
train_Std,0.0302
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.6285
test_Cutoff,0.3992
test_Acc,0.8182
test_MCC,0.6633
test_Sen,0.9474
test_Spe,0.7500
test_PPV,0.6667
test_NPV,0.9643
test_Youden Index,0.6974
test_AUC,0.8553
test_95% CIs,[0.7558-0.9547]
test_Std,0.0507
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.8793
cv_train_Cutoff,0.5015
cv_train_Acc,0.8646
cv_train_MCC,0.7297
cv_train_Sen,0.8452
cv_train_Spe,0.8839
cv_train_PPV,0.8793
cv_train_NPV,0.8510
cv_train_Youden Index,0.7292
cv_train_AUC,0.9157
cv_train_95% CIs,[0.8938-0.9376]
cv_train_Std,0.0112
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.6655
cv_val_Cutoff,0.4054
cv_val_Acc,0.8031
cv_val_MCC,0.5686
cv_val_Sen,0.7442
cv_val_Spe,0.8333
cv_val_PPV,0.6957
cv_val_NPV,0.8642
cv_val_Youden Index,0.5775
cv_val_AUC,0.8250
cv_val_95% CIs,[0.7476-0.9024]
cv_val_Std,0.0395
