,label,PCA_feature_2,PCA_feature_3,PCA_feature_10,PCA_feature_11,PCA_feature_15,PCA_feature_19,PCA_feature_22,PCA_feature_23,PCA_feature_27,PCA_feature_30,PCA_feature_37,PCA_feature_54,PCA_feature_59,PCA_feature_129,PCA_feature_131,PCA_feature_138,PCA_feature_140,PCA_feature_154,PCA_feature_157,PCA_feature_161
1,1.0,-11.033711753282216,22.530387107943348,-8.512075923895434,-1.117372307835492,3.8031423230171137,-2.5352954236680816,1.9139216585759813,0.011505571401213444,-0.573844127871646,2.436599126934786,0.08514024214391144,-0.6746480816765867,-0.37720346200757143,1.582067810090848e-15,4.440892098500626e-16,-4.996003610813204e-16,1.4710455076283324e-15,5.551115123125783e-17,-4.996003610813204e-16,5.551115123125783e-17
2,1.0,-3.863631772848839,34.37969619191428,-0.47260682391770603,-12.137164945259894,-0.7059623509927833,0.7660764756367181,1.921652822007955,-3.12954823484032,0.8238868571153347,-0.4954813845660013,0.030307935474912506,0.19863028864615562,-0.35830732038589574,2.1371793224034263e-15,-2.1094237467877974e-15,7.181755190543981e-16,3.2751579226442118e-15,-1.6653345369377348e-16,-1.2732870313669764e-15,1.3877787807814457e-15
2,0.0,1.5259782573082017,-4.030280480650442,1.2663202116322623,1.5533186667874217,4.101867809407586,-4.0514126185703185,0.13348034780533083,0.2402248703649209,-0.22524447457717572,0.9076890319638475,-1.812374661830045,-0.5993591987026342,0.8837379325508277,1.2212453270876722e-15,-2.0122792321330962e-15,8.049116928532385e-16,1.3461454173580023e-15,1.3877787807814457e-17,-1.0824674490095276e-15,-3.0531133177191805e-16
3,0.0,-3.913129776579316,-10.457337549334719,0.9072705788684886,2.9479532489589424,3.3144054923093464,1.5080589977269985,-1.5044934744264449,-1.4184301934717887,-0.6618980812623585,-2.2622550949449227,-2.102239687051916,0.5361212866262779,1.2996018489398096,-1.5265566588595902e-16,-2.636779683484747e-16,-5.689893001203927e-16,-1.4432899320127035e-15,8.326672684688674e-17,-3.122502256758253e-16,-7.268491364342822e-16
4,0.0,-5.9878147064194,-15.016616969710784,-0.12777851826741826,-0.7081732658768449,4.103542792922912,2.325565665847722,-1.5742243200353438,5.9078426382280105,-1.58849284604752,1.1147497697478803,-1.922740180842276,1.6861265155229732,-0.5082288567551699,-5.828670879282072e-16,8.326672684688674e-17,-7.216449660063518e-16,-9.43689570931383e-16,-1.1379786002407855e-15,-1.429412144204889e-15,-2.581268532253489e-15
5,0.0,13.735192880997845,12.25635266614403,2.6052774534942444,1.3938291897217958,-2.6604873083022698,5.293031509560903,1.4911662613444872,-3.4703009292843543,-5.8120548741936435,4.257565518485482,-4.507630963195201,1.7556393704445479,-0.8323931733582929,-1.6930901125533637e-15,1.7139067942650854e-15,-1.2490009027033011e-15,3.552713678800501e-15,-2.498001805406602e-16,-2.3869795029440866e-15,-2.609024107869118e-15
5,1.0,-12.096472604772776,-5.570592956764211,0.9420826920976524,6.385849141480515,-3.2101662767956474,0.32678958353814747,0.8789908972125074,-0.8424948503269976,0.44506677809857886,-0.4409059491224264,1.1052218499431443,0.2389006471402996,-0.15708279340530595,1.2038980923279041e-15,-4.926614671774132e-16,3.469446951953614e-16,3.3306690738754696e-16,-1.6653345369377348e-16,-7.771561172376096e-16,-1.4016565685892601e-15
7,0.0,-5.694542644848494,-13.957475739768627,3.966327505916876,-0.33872380426394877,0.6285873442072143,-0.13513549501429145,4.386218741343028,3.297426309278247,-0.5264199725192424,-2.081588853766956,0.5451360699292491,0.5198970673807392,0.16767064634569417,3.7470027081099033e-16,4.85722573273506e-16,7.771561172376096e-16,-1.4432899320127035e-15,0.0,1.6653345369377348e-16,-2.248201624865942e-15
7,1.0,-8.580396105958863,-7.108741620284428,-0.1821574708265206,5.4109496026792,-0.14416732646342267,-3.2437962913807845,1.213772901957501,1.3138047631803333,1.9321015159724595,-0.25613126723812746,-0.23222881697525272,-0.400336366554569,-0.2255206715199756,1.0685896612017132e-15,-9.228728892196614e-16,3.7470027081099033e-16,-6.106226635438361e-16,-6.869504964868156e-16,-9.818534874028728e-16,-1.4641066137244252e-15
8,1.0,-6.65639952834578,-8.187356731638493,-2.38996623083798,4.631548760844914,0.14999374335222856,-2.3684631782096184,0.4804615106998291,-0.5867138778557781,1.8154054426096504,0.5872705248024737,0.9597951056034268,-1.1764381783934377,-0.6500467183074946,1.3079815008865125e-15,-2.706168622523819e-16,-2.1163626406917047e-16,-3.7470027081099033e-16,5.48172618408671e-16,-3.469446951953614e-17,-6.175615574477433e-16
