,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.8679
balance_train_Cutoff,0.4216
balance_train_Acc,0.8452
balance_train_MCC,0.6913
balance_train_Sen,0.8690
balance_train_Spe,0.8214
balance_train_PPV,0.8295
balance_train_NPV,0.8625
balance_train_Youden Index,0.6905
balance_train_AUC,0.8948
balance_train_95% CIs,[0.8461-0.9436]
balance_train_Std,0.0249
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.7708
train_Cutoff,0.4216
train_Acc,0.8346
train_MCC,0.6636
train_Sen,0.8837
train_Spe,0.8095
train_PPV,0.7037
train_NPV,0.9315
train_Youden Index,0.6932
train_AUC,0.8970
train_95% CIs,[0.8438-0.9502]
train_Std,0.0271
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.5008
test_Cutoff,1.0000
test_Acc,0.5091
test_MCC,0.0014
test_Sen,0.4737
test_Spe,0.5278
test_PPV,0.3462
test_NPV,0.6552
test_Youden Index,0.0015
test_AUC,0.5007
test_95% CIs,[0.3588-0.6426]
test_Std,0.0724
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.8941
cv_train_Cutoff,0.5014
cv_train_Acc,0.8557
cv_train_MCC,0.7152
cv_train_Sen,0.9077
cv_train_Spe,0.8036
cv_train_PPV,0.8221
cv_train_NPV,0.8970
cv_train_Youden Index,0.7113
cv_train_AUC,0.9074
cv_train_95% CIs,[0.8842-0.9305]
cv_train_Std,0.0118
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.5357
cv_val_Cutoff,1.0000
cv_val_Acc,0.5197
cv_val_MCC,0.0551
cv_val_Sen,0.5581
cv_val_Spe,0.5000
cv_val_PPV,0.3636
cv_val_NPV,0.6885
cv_val_Youden Index,0.0581
cv_val_AUC,0.5291
cv_val_95% CIs,[0.4367-0.6214]
cv_val_Std,0.0471
