,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.8029
balance_train_Cutoff,0.5893
balance_train_Acc,0.7738
balance_train_MCC,0.5554
balance_train_Sen,0.6905
balance_train_Spe,0.8571
balance_train_PPV,0.8286
balance_train_NPV,0.7347
balance_train_Youden Index,0.5476
balance_train_AUC,0.8359
balance_train_95% CIs,[0.7754-0.8964]
balance_train_Std,0.0309
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.6769
train_Cutoff,0.5893
train_Acc,0.8110
train_MCC,0.5781
train_Sen,0.7209
train_Spe,0.8571
train_PPV,0.7209
train_NPV,0.8571
train_Youden Index,0.5781
train_AUC,0.8466
train_95% CIs,[0.7792-0.9140]
train_Std,0.0344
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.5409
test_Cutoff,0.3767
test_Acc,0.7273
test_MCC,0.5384
test_Sen,0.9474
test_Spe,0.6111
test_PPV,0.5625
test_NPV,0.9565
test_Youden Index,0.5585
test_AUC,0.7865
test_95% CIs,[0.6680-0.9051]
test_Std,0.0605
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.8764
cv_train_Cutoff,0.4677
cv_train_Acc,0.8542
cv_train_MCC,0.7151
cv_train_Sen,0.9226
cv_train_Spe,0.7857
cv_train_PPV,0.8115
cv_train_NPV,0.9103
cv_train_Youden Index,0.7083
cv_train_AUC,0.8966
cv_train_95% CIs,[0.8717-0.9216]
cv_train_Std,0.0127
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.7166
cv_val_Cutoff,0.3500
cv_val_Acc,0.7323
cv_val_MCC,0.5480
cv_val_Sen,0.9535
cv_val_Spe,0.6190
cv_val_PPV,0.5616
cv_val_NPV,0.9630
cv_val_Youden Index,0.5725
cv_val_AUC,0.8391
cv_val_95% CIs,[0.7668-0.9115]
cv_val_Std,0.0369
