,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.7211
balance_train_Cutoff,0.4398
balance_train_Acc,0.7798
balance_train_MCC,0.5779
balance_train_Sen,0.9048
balance_train_Spe,0.6548
balance_train_PPV,0.7238
balance_train_NPV,0.8730
balance_train_Youden Index,0.5595
balance_train_AUC,0.8060
balance_train_95% CIs,[0.7374-0.8746]
balance_train_Std,0.0350
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.5742
train_Cutoff,0.5177
train_Acc,0.7795
train_MCC,0.5340
train_Sen,0.7674
train_Spe,0.7857
train_PPV,0.6471
train_NPV,0.8684
train_Youden Index,0.5532
train_AUC,0.8004
train_95% CIs,[0.7197-0.8811]
train_Std,0.0412
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.4587
test_Cutoff,2.0000
test_Acc,0.6545
test_MCC,0.0000
test_Sen,0.0000
test_Spe,1.0000
test_PPV,0.0000
test_NPV,0.6545
test_Youden Index,0.0000
test_AUC,0.4466
test_95% CIs,[0.3058-0.5875]
test_Std,0.0719
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.8473
cv_train_Cutoff,0.4815
cv_train_Acc,0.8036
cv_train_MCC,0.6084
cv_train_Sen,0.8363
cv_train_Spe,0.7708
cv_train_PPV,0.7849
cv_train_NPV,0.8248
cv_train_Youden Index,0.6071
cv_train_AUC,0.8663
cv_train_95% CIs,[0.8388-0.8939]
cv_train_Std,0.0141
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.4102
cv_val_Cutoff,2.0000
cv_val_Acc,0.6614
cv_val_MCC,0.0000
cv_val_Sen,0.0000
cv_val_Spe,1.0000
cv_val_PPV,0.0000
cv_val_NPV,0.6614
cv_val_Youden Index,0.0000
cv_val_AUC,0.4402
cv_val_95% CIs,[0.3416-0.5388]
cv_val_Std,0.0503
