,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.8165
balance_train_Cutoff,0.5092
balance_train_Acc,0.7976
balance_train_MCC,0.5980
balance_train_Sen,0.7500
balance_train_Spe,0.8452
balance_train_PPV,0.8289
balance_train_NPV,0.7717
balance_train_Youden Index,0.5952
balance_train_AUC,0.8357
balance_train_95% CIs,[0.7748-0.8967]
balance_train_Std,0.0311
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.7067
train_Cutoff,0.5092
train_Acc,0.8189
train_MCC,0.6032
train_Sen,0.7674
train_Spe,0.8452
train_PPV,0.7174
train_NPV,0.8765
train_Youden Index,0.6127
train_AUC,0.8469
train_95% CIs,[0.7778-0.9160]
train_Std,0.0352
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.4859
test_Cutoff,0.4161
test_Acc,0.6000
test_MCC,0.4245
test_Sen,1.0000
test_Spe,0.3889
test_PPV,0.4634
test_NPV,1.0000
test_Youden Index,0.3889
test_AUC,0.6857
test_95% CIs,[0.5461-0.8253]
test_Std,0.0712
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.7036
cv_train_Cutoff,0.3878
cv_train_Acc,0.6890
cv_train_MCC,0.3907
cv_train_Sen,0.8155
cv_train_Spe,0.5625
cv_train_PPV,0.6508
cv_train_NPV,0.7530
cv_train_Youden Index,0.3780
cv_train_AUC,0.7334
cv_train_95% CIs,[0.6957-0.7710]
cv_train_Std,0.0192
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.4725
cv_val_Cutoff,0.4036
cv_val_Acc,0.6378
cv_val_MCC,0.2780
cv_val_Sen,0.6744
cv_val_Spe,0.6190
cv_val_PPV,0.4754
cv_val_NPV,0.7879
cv_val_Youden Index,0.2935
cv_val_AUC,0.6440
cv_val_95% CIs,[0.5443-0.7436]
cv_val_Std,0.0508
