,Coef
PCA_feature_110,-0.2663500422885814
PCA_feature_124,-1.1588928896213708
PCA_feature_114,-0.46410984351531903
PCA_feature_18,-0.022389095670778354
PCA_feature_37,0.2287219439214992
PCA_feature_44,0.058816102872645847
PCA_feature_109,-0.495368316476397
PCA_feature_86,-0.27596807880382457
PCA_feature_112,-0.02861651940752956
PCA_feature_8,-0.01951614510748364
PCA_feature_115,-0.32174584289944397
PCA_feature_107,-0.5569681616055815
PCA_feature_131,-718614571096379.5
PCA_feature_41,0.04587168856136564
PCA_feature_27,0.24446759389319786
PCA_feature_106,-0.16919609408355069
