,Coef
PCA_feature_110,-0.1664571790279148
PCA_feature_124,-0.437412722040456
PCA_feature_114,-0.15164158204864234
PCA_feature_18,-0.04901855623611097
PCA_feature_37,0.2262626265540063
PCA_feature_44,0.02159472195507
PCA_feature_109,-0.18148415159620884
PCA_feature_86,-0.09292510144579552
PCA_feature_112,-0.10601700597649015
PCA_feature_8,-0.016240254660245274
PCA_feature_115,0.013238117501829636
PCA_feature_107,-0.42141340216047574
PCA_feature_131,-2.2507633526023168e-14
PCA_feature_41,-0.007079179922839715
PCA_feature_27,0.25522416706130696
PCA_feature_106,-0.10336891941499142
