,Coef
PCA_feature_110,-0.13712761739861412
PCA_feature_124,-0.6175172457574561
PCA_feature_114,-0.3775484814160315
PCA_feature_18,-0.043401490639223717
PCA_feature_37,0.3622609887600978
PCA_feature_44,-0.013025264676349457
PCA_feature_109,-0.1726838905027656
PCA_feature_86,-0.27322729839870996
PCA_feature_112,-2.6402481130727296e-05
PCA_feature_8,-0.010476444560069353
PCA_feature_115,-0.08551494964755929
PCA_feature_107,-0.4120013127117504
PCA_feature_131,-8.170148392084955e-14
PCA_feature_41,0.05542026942541267
PCA_feature_27,0.3923216190882073
PCA_feature_106,-0.013499652216635752
