,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.6544
balance_train_Cutoff,0.4586
balance_train_Acc,0.7857
balance_train_MCC,0.5921
balance_train_Sen,0.9167
balance_train_Spe,0.6548
balance_train_PPV,0.7264
balance_train_NPV,0.8871
balance_train_Youden Index,0.5714
balance_train_AUC,0.7755
balance_train_95% CIs,[0.6988-0.8522]
balance_train_Std,0.0391
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.4974
train_Cutoff,0.4586
train_Acc,0.7402
train_MCC,0.5330
train_Sen,0.9070
train_Spe,0.6548
train_PPV,0.5735
train_NPV,0.9322
train_Youden Index,0.5617
train_AUC,0.7702
train_95% CIs,[0.6876-0.8529]
train_Std,0.0422
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.5613
test_Cutoff,0.5517
test_Acc,0.7636
test_MCC,0.4995
test_Sen,0.7368
test_Spe,0.7778
test_PPV,0.6364
test_NPV,0.8485
test_Youden Index,0.5146
test_AUC,0.7632
test_95% CIs,[0.6353-0.8910]
test_Std,0.0652
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.7971
cv_train_Cutoff,0.4721
cv_train_Acc,0.7560
cv_train_MCC,0.5134
cv_train_Sen,0.7946
cv_train_Spe,0.7173
cv_train_PPV,0.7376
cv_train_NPV,0.7774
cv_train_Youden Index,0.5119
cv_train_AUC,0.8197
cv_train_95% CIs,[0.7881-0.8513]
cv_train_Std,0.0161
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.5132
cv_val_Cutoff,0.6199
cv_val_Acc,0.7244
cv_val_MCC,0.3419
cv_val_Sen,0.4186
cv_val_Spe,0.8810
cv_val_PPV,0.6429
cv_val_NPV,0.7475
cv_val_Youden Index,0.2996
cv_val_AUC,0.6628
cv_val_95% CIs,[0.5598-0.7658]
cv_val_Std,0.0525
