,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.5476
balance_train_Cutoff,0.4948
balance_train_Acc,0.6607
balance_train_MCC,0.3233
balance_train_Sen,0.7143
balance_train_Spe,0.6071
balance_train_PPV,0.6452
balance_train_NPV,0.6800
balance_train_Youden Index,0.3214
balance_train_AUC,0.6222
balance_train_95% CIs,[0.5350-0.7094]
balance_train_Std,0.0445
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.3982
train_Cutoff,0.4988
train_Acc,0.6457
train_MCC,0.2895
train_Sen,0.6744
train_Spe,0.6310
train_PPV,0.4833
train_NPV,0.7910
train_Youden Index,0.3054
train_AUC,0.6282
train_95% CIs,[0.5277-0.7287]
train_Std,0.0513
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.3858
test_Cutoff,0.4433
test_Acc,0.6182
test_MCC,0.4449
test_Sen,1.0000
test_Spe,0.4167
test_PPV,0.4750
test_NPV,1.0000
test_Youden Index,0.4167
test_AUC,0.6433
test_95% CIs,[0.4997-0.7868]
test_Std,0.0732
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.5876
cv_train_Cutoff,0.4969
cv_train_Acc,0.6042
cv_train_MCC,0.2089
cv_train_Sen,0.6399
cv_train_Spe,0.5685
cv_train_PPV,0.5972
cv_train_NPV,0.6122
cv_train_Youden Index,0.2083
cv_train_AUC,0.6201
cv_train_95% CIs,[0.5779-0.6623]
cv_train_Std,0.0215
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.4090
cv_val_Cutoff,0.5085
cv_val_Acc,0.6299
cv_val_MCC,0.2561
cv_val_Sen,0.6512
cv_val_Spe,0.6190
cv_val_PPV,0.4667
cv_val_NPV,0.7761
cv_val_Youden Index,0.2702
cv_val_AUC,0.6116
cv_val_95% CIs,[0.5077-0.7155]
cv_val_Std,0.0530
