,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.6791
balance_train_Cutoff,0.5790
balance_train_Acc,0.7024
balance_train_MCC,0.4048
balance_train_Sen,0.7024
balance_train_Spe,0.7024
balance_train_PPV,0.7024
balance_train_NPV,0.7024
balance_train_Youden Index,0.4048
balance_train_AUC,0.7279
balance_train_95% CIs,[0.6516-0.8042]
balance_train_Std,0.0389
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.5144
train_Cutoff,0.5790
train_Acc,0.6929
train_MCC,0.3607
train_Sen,0.6744
train_Spe,0.7024
train_PPV,0.5370
train_NPV,0.8082
train_Youden Index,0.3768
train_AUC,0.7143
train_95% CIs,[0.6216-0.8070]
train_Std,0.0473
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.5527
test_Cutoff,0.6446
test_Acc,0.7455
test_MCC,0.4058
test_Sen,0.4737
test_Spe,0.8889
test_PPV,0.6923
test_NPV,0.7619
test_Youden Index,0.3626
test_AUC,0.6725
test_95% CIs,[0.5188-0.8263]
test_Std,0.0784
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.6647
cv_train_Cutoff,0.5902
cv_train_Acc,0.6637
cv_train_MCC,0.3277
cv_train_Sen,0.6845
cv_train_Spe,0.6429
cv_train_PPV,0.6571
cv_train_NPV,0.6708
cv_train_Youden Index,0.3274
cv_train_AUC,0.6982
cv_train_95% CIs,[0.6588-0.7377]
cv_train_Std,0.0201
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.3648
cv_val_Cutoff,0.0292
cv_val_Acc,0.5197
cv_val_MCC,0.1349
cv_val_Sen,0.7209
cv_val_Spe,0.4167
cv_val_PPV,0.3875
cv_val_NPV,0.7447
cv_val_Youden Index,0.1376
cv_val_AUC,0.5385
cv_val_95% CIs,[0.4310-0.6460]
cv_val_Std,0.0548
