,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.5300
balance_train_Cutoff,0.5000
balance_train_Acc,0.6429
balance_train_MCC,0.2925
balance_train_Sen,0.7500
balance_train_Spe,0.5357
balance_train_PPV,0.6176
balance_train_NPV,0.6818
balance_train_Youden Index,0.2857
balance_train_AUC,0.6060
balance_train_95% CIs,[0.5189-0.6931]
balance_train_Std,0.0444
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.3806
train_Cutoff,0.4942
train_Acc,0.5984
train_MCC,0.2806
train_Sen,0.7907
train_Spe,0.5000
train_PPV,0.4474
train_NPV,0.8235
train_Youden Index,0.2907
train_AUC,0.6160
train_95% CIs,[0.5171-0.7149]
train_Std,0.0505
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.3808
test_Cutoff,0.4933
test_Acc,0.6364
test_MCC,0.4252
test_Sen,0.9474
test_Spe,0.4722
test_PPV,0.4865
test_NPV,0.9444
test_Youden Index,0.4196
test_AUC,0.6338
test_95% CIs,[0.4897-0.7778]
test_Std,0.0735
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.5048
cv_train_Cutoff,0.3837
cv_train_Acc,0.5670
cv_train_MCC,0.2102
cv_train_Sen,0.9524
cv_train_Spe,0.1815
cv_train_PPV,0.5378
cv_train_NPV,0.7922
cv_train_Youden Index,0.1339
cv_train_AUC,0.5208
cv_train_95% CIs,[0.4769-0.5648]
cv_train_Std,0.0224
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.3262
cv_val_Cutoff,0.9130
cv_val_Acc,0.6693
cv_val_MCC,0.1118
cv_val_Sen,0.0698
cv_val_Spe,0.9762
cv_val_PPV,0.6000
cv_val_NPV,0.6721
cv_val_Youden Index,0.0460
cv_val_AUC,0.4611
cv_val_95% CIs,[0.3531-0.5691]
cv_val_Std,0.0551
