,Number,PosNum,NegNum,AUC,95% CIs,Std,AUC-PR,Cutoff,MCC,Acc,Youden Index,Sen,Spe,PPV,NPV
Zscore_PCA_ANOVA_1_SVM,672,336,336,0.7014,[0.6630-0.7398],0.0196,0.6884,0.3823,0.3813,0.6488,0.2976,0.9613,0.3363,0.5916,0.8968
Zscore_PCA_ANOVA_1_LDA,672,336,336,0.7959,[0.7621-0.8297],0.0172,0.7636,0.5626,0.4741,0.7336,0.4673,0.6488,0.8185,0.7814,0.6997
Zscore_PCA_ANOVA_1_AE,672,336,336,0.6931,[0.6538-0.7324],0.0200,0.6855,0.4869,0.4070,0.6533,0.3065,0.9821,0.3244,0.5925,0.9478
Zscore_PCA_ANOVA_1_RF,672,336,336,0.9193,[0.9015-0.9370],0.0091,0.9309,0.5021,0.5982,0.7991,0.5982,0.8006,0.7976,0.7982,0.8000
Zscore_PCA_ANOVA_1_LR,672,336,336,0.6975,[0.6589-0.7362],0.0197,0.6854,0.3324,0.4153,0.6548,0.3095,0.9881,0.3214,0.5929,0.9643
Zscore_PCA_ANOVA_1_LRLasso,672,336,336,0.6972,[0.6598-0.7346],0.0191,0.6903,0.3459,0.3813,0.6488,0.2976,0.9613,0.3363,0.5916,0.8968
Zscore_PCA_ANOVA_1_AB,672,336,336,0.8831,[0.8624-0.9038],0.0106,0.9038,0.5015,0.5636,0.7619,0.5238,0.5774,0.9464,0.9151,0.6913
Zscore_PCA_ANOVA_1_DT,672,336,336,0.9193,[0.9044-0.9342],0.0076,0.9424,1.0000,0.6533,0.7991,0.5982,0.5982,1.0000,1.0000,0.7134
Zscore_PCA_ANOVA_1_GP,672,336,336,0.8088,[0.7795-0.8382],0.0150,0.8167,0.5237,0.4319,0.7054,0.4107,0.5506,0.8601,0.7974,0.6568
Zscore_PCA_ANOVA_1_NB,672,336,336,0.7988,[0.7654-0.8322],0.0171,0.7705,0.5631,0.4723,0.7336,0.4673,0.6607,0.8065,0.7735,0.7039
Zscore_PCA_ANOVA_2_SVM,672,336,336,0.8073,[0.7739-0.8406],0.0170,0.7701,0.4647,0.5170,0.7545,0.5089,0.8423,0.6667,0.7165,0.8087
Zscore_PCA_ANOVA_2_LDA,672,336,336,0.8349,[0.8040-0.8658],0.0157,0.8087,0.5217,0.5417,0.7708,0.5417,0.7708,0.7708,0.7708,0.7708
Zscore_PCA_ANOVA_2_AE,672,336,336,0.8003,[0.7665-0.8342],0.0173,0.7422,0.4676,0.4975,0.7485,0.4970,0.7262,0.7708,0.7601,0.7379
Zscore_PCA_ANOVA_2_RF,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,0.6100,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_2_LR,672,336,336,0.8092,[0.7760-0.8423],0.0169,0.7710,0.4655,0.5011,0.7485,0.4970,0.8125,0.6845,0.7203,0.7850
Zscore_PCA_ANOVA_2_LRLasso,672,336,336,0.8104,[0.7773-0.8435],0.0169,0.7729,0.4431,0.5225,0.7574,0.5149,0.8423,0.6726,0.7201,0.8100
Zscore_PCA_ANOVA_2_AB,672,336,336,0.9882,[0.9829-0.9935],0.0027,0.9880,0.5009,0.8851,0.9420,0.8839,0.9673,0.9167,0.9207,0.9655
Zscore_PCA_ANOVA_2_DT,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_2_GP,672,336,336,0.9324,[0.9131-0.9516],0.0098,0.9132,0.5406,0.7568,0.8780,0.7560,0.9018,0.8542,0.8608,0.8969
Zscore_PCA_ANOVA_2_NB,672,336,336,0.8035,[0.7702-0.8368],0.0170,0.7750,0.5366,0.4941,0.7470,0.4940,0.7530,0.7411,0.7441,0.7500
Zscore_PCA_ANOVA_3_SVM,672,336,336,0.8692,[0.8411-0.8973],0.0143,0.8458,0.5000,0.6622,0.8289,0.6577,0.8869,0.7708,0.7947,0.8721
Zscore_PCA_ANOVA_3_LDA,672,336,336,0.8766,[0.8497-0.9036],0.0138,0.8602,0.5074,0.6502,0.8244,0.6488,0.8571,0.7917,0.8045,0.8471
Zscore_PCA_ANOVA_3_AE,672,336,336,0.6291,[0.5851-0.6732],0.0225,0.5554,0.4808,0.4503,0.6994,0.3988,0.9315,0.4673,0.6362,0.8722
Zscore_PCA_ANOVA_3_RF,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,0.6450,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_3_LR,672,336,336,0.8691,[0.8410-0.8972],0.0143,0.8459,0.4657,0.6522,0.8199,0.6399,0.9167,0.7232,0.7681,0.8967
Zscore_PCA_ANOVA_3_LRLasso,672,336,336,0.8707,[0.8427-0.8986],0.0143,0.8478,0.5138,0.6511,0.8244,0.6488,0.8661,0.7827,0.7995,0.8539
Zscore_PCA_ANOVA_3_AB,672,336,336,0.9999,[0.9998-1.0000],0.0001,0.9999,0.5030,0.9940,0.9970,0.9940,0.9970,0.9970,0.9970,0.9970
Zscore_PCA_ANOVA_3_DT,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_3_GP,672,336,336,0.9965,[0.9936-0.9995],0.0015,0.9962,0.5395,0.9495,0.9747,0.9494,0.9821,0.9673,0.9677,0.9819
Zscore_PCA_ANOVA_3_NB,672,336,336,0.8664,[0.8385-0.8942],0.0142,0.8528,0.4583,0.6348,0.8080,0.6161,0.9286,0.6875,0.7482,0.9059
Zscore_PCA_ANOVA_4_SVM,672,336,336,0.8814,[0.8549-0.9080],0.0135,0.8591,0.4218,0.6877,0.8363,0.6726,0.9405,0.7321,0.7783,0.9248
Zscore_PCA_ANOVA_4_LDA,672,336,336,0.8925,[0.8678-0.9173],0.0126,0.8810,0.4258,0.6969,0.8438,0.6875,0.9256,0.7619,0.7954,0.9110
Zscore_PCA_ANOVA_4_AE,672,336,336,0.8211,[0.7885-0.8536],0.0166,0.7533,0.4992,0.5761,0.7798,0.5595,0.8988,0.6607,0.7260,0.8672
Zscore_PCA_ANOVA_4_RF,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,0.6350,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_4_LR,672,336,336,0.8822,[0.8561-0.9083],0.0133,0.8640,0.3999,0.6793,0.8304,0.6607,0.9464,0.7143,0.7681,0.9302
Zscore_PCA_ANOVA_4_LRLasso,672,336,336,0.8830,[0.8570-0.9090],0.0133,0.8643,0.3891,0.6905,0.8363,0.6726,0.9494,0.7232,0.7743,0.9346
Zscore_PCA_ANOVA_4_AB,672,336,336,1.0000,[0.9999-1.0000],0.0000,1.0000,0.5030,0.9940,0.9970,0.9940,0.9970,0.9970,0.9970,0.9970
Zscore_PCA_ANOVA_4_DT,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_4_GP,672,336,336,0.9992,[0.9985-1.0000],0.0004,0.9993,0.5515,0.9732,0.9866,0.9732,0.9851,0.9881,0.9881,0.9852
Zscore_PCA_ANOVA_4_NB,672,336,336,0.8752,[0.8487-0.9017],0.0135,0.8670,0.5160,0.6359,0.8140,0.6280,0.8929,0.7351,0.7712,0.8728
Zscore_PCA_ANOVA_5_SVM,672,336,336,0.8814,[0.8549-0.9080],0.0135,0.8591,0.4218,0.6877,0.8363,0.6726,0.9405,0.7321,0.7783,0.9248
Zscore_PCA_ANOVA_5_LDA,672,336,336,0.8994,[0.8753-0.9234],0.0123,0.8863,0.4613,0.7118,0.8527,0.7054,0.9196,0.7857,0.8110,0.9072
Zscore_PCA_ANOVA_5_AE,672,336,336,0.7569,[0.7204-0.7934],0.0186,0.7357,0.5031,0.4198,0.7098,0.4196,0.6964,0.7232,0.7156,0.7043
Zscore_PCA_ANOVA_5_RF,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,0.6350,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_5_LR,672,336,336,0.8822,[0.8561-0.9083],0.0133,0.8640,0.3999,0.6793,0.8304,0.6607,0.9464,0.7143,0.7681,0.9302
Zscore_PCA_ANOVA_5_LRLasso,672,336,336,0.8830,[0.8570-0.9090],0.0133,0.8643,0.3892,0.6905,0.8363,0.6726,0.9494,0.7232,0.7743,0.9346
Zscore_PCA_ANOVA_5_AB,672,336,336,1.0000,[0.9999-1.0000],0.0000,1.0000,0.5030,0.9940,0.9970,0.9940,0.9970,0.9970,0.9970,0.9970
Zscore_PCA_ANOVA_5_DT,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_5_GP,672,336,336,0.9992,[0.9985-1.0000],0.0004,0.9993,0.5515,0.9732,0.9866,0.9732,0.9851,0.9881,0.9881,0.9852
Zscore_PCA_ANOVA_5_NB,672,336,336,0.8752,[0.8487-0.9017],0.0135,0.8670,0.5160,0.6359,0.8140,0.6280,0.8929,0.7351,0.7712,0.8728
Zscore_PCA_ANOVA_6_SVM,672,336,336,0.8927,[0.8676-0.9178],0.0128,0.8707,0.4395,0.7022,0.8467,0.6935,0.9256,0.7679,0.7995,0.9117
Zscore_PCA_ANOVA_6_LDA,672,336,336,0.9130,[0.8906-0.9353],0.0114,0.9017,0.6037,0.6997,0.8497,0.6994,0.8363,0.8631,0.8593,0.8406
Zscore_PCA_ANOVA_6_AE,672,336,336,0.8481,[0.8188-0.8774],0.0150,0.8091,0.2998,0.6135,0.7932,0.5863,0.9405,0.6458,0.7264,0.9156
Zscore_PCA_ANOVA_6_RF,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,0.6650,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_6_LR,672,336,336,0.8930,[0.8681-0.9179],0.0127,0.8754,0.4053,0.6991,0.8438,0.6875,0.9345,0.7530,0.7909,0.9200
Zscore_PCA_ANOVA_6_LRLasso,672,336,336,0.8944,[0.8697-0.9190],0.0126,0.8767,0.3891,0.7077,0.8467,0.6935,0.9464,0.7470,0.7891,0.9331
Zscore_PCA_ANOVA_6_AB,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,0.5030,0.9970,0.9985,0.9970,0.9970,1.0000,1.0000,0.9970
Zscore_PCA_ANOVA_6_DT,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_6_GP,672,336,336,0.9997,[0.9994-1.0000],0.0002,0.9997,0.5430,0.9822,0.9911,0.9821,0.9970,0.9851,0.9853,0.9970
Zscore_PCA_ANOVA_6_NB,672,336,336,0.8858,[0.8604-0.9112],0.0130,0.8791,0.5022,0.6682,0.8304,0.6607,0.9048,0.7560,0.7876,0.8881
Zscore_PCA_ANOVA_7_SVM,672,336,336,0.9109,[0.8874-0.9344],0.0120,0.8882,0.4818,0.7319,0.8646,0.7292,0.9077,0.8214,0.8356,0.8990
Zscore_PCA_ANOVA_7_LDA,672,336,336,0.9250,[0.9040-0.9460],0.0107,0.9089,0.4881,0.7545,0.8765,0.7530,0.9077,0.8452,0.8543,0.9016
Zscore_PCA_ANOVA_7_AE,672,336,336,0.8609,[0.8329-0.8890],0.0143,0.8474,0.6099,0.6142,0.8065,0.6131,0.8363,0.7768,0.7893,0.8259
Zscore_PCA_ANOVA_7_RF,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,0.6250,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_7_LR,672,336,336,0.9113,[0.8883-0.9343],0.0117,0.8911,0.4581,0.7240,0.8601,0.7202,0.9107,0.8095,0.8270,0.9007
Zscore_PCA_ANOVA_7_LRLasso,672,336,336,0.9135,[0.8908-0.9362],0.0116,0.8924,0.4590,0.7259,0.8616,0.7232,0.9048,0.8185,0.8329,0.8958
Zscore_PCA_ANOVA_7_AB,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,0.5030,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_7_DT,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_7_GP,672,336,336,0.9999,[0.9998-1.0000],0.0001,0.9999,0.5430,0.9940,0.9970,0.9940,0.9970,0.9970,0.9970,0.9970
Zscore_PCA_ANOVA_7_NB,672,336,336,0.9019,[0.8786-0.9253],0.0119,0.9023,0.5412,0.6977,0.8482,0.6964,0.8780,0.8185,0.8287,0.8703
Zscore_PCA_ANOVA_8_SVM,672,336,336,0.9109,[0.8874-0.9344],0.0120,0.8882,0.4818,0.7319,0.8646,0.7292,0.9077,0.8214,0.8356,0.8990
Zscore_PCA_ANOVA_8_LDA,672,336,336,0.9293,[0.9090-0.9497],0.0104,0.9143,0.6203,0.7561,0.8780,0.7560,0.8690,0.8869,0.8848,0.8713
Zscore_PCA_ANOVA_8_AE,672,336,336,0.8302,[0.7980-0.8624],0.0164,0.7687,0.4910,0.5954,0.7902,0.5804,0.9018,0.6786,0.7372,0.8736
Zscore_PCA_ANOVA_8_RF,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,0.6450,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
